"ServiceName","DisplayName","ServiceCategory","StartType","ExpectedStatus"
"BITS","Background Intelligent Transfer Service","Essential","Automatic","Running"
"COMSysApp","COM+ System Application","Essential","Automatic","Running"
"Dnscache","DNS Client","Essential","Automatic","Running"
"DPS","Diagnostic Policy Service","Essential","Automatic","Running"
"EventLog","Windows Event Log","Essential","Automatic","Running"
"EventSystem","COM+ Event System","Essential","Automatic","Running"
"iphlpsvc","IP Helper","Essential","Automatic","Running"
"LanmanServer","Server","Essential","Automatic","Running"
"LanmanWorkstation","Workstation","Essential","Automatic","Running"
"MpsSvc","Windows Firewall","Essential","Automatic","Running"
"Netlogon","Netlogon","Essential","Automatic","Running"
"pla","Performance Logs & Alerts","Essential","Automatic","Running"
"ProfSvc","User Profile Service","Essential","Automatic","Running"
"RpcEptMapper","RPC Endpoint Mapper","Essential","Automatic","Running"
"RpcSs","Remote Procedure Call (RPC)","Essential","Automatic","Running"
"UALSVC","User Access Logging Service","Essential","Automatic","Running"
"vmicheartbeat","Hyper-V Heartbeat Service","Essential","Automatic","Running"
"vmicshutdown","Hyper-V Guest Shutdown Service","Essential","Automatic","Running"
"vmictimesync","Hyper-V Time Synchronization Service","Essential","Automatic","Running"
"VMTools","VMware Tools","Essential","Automatic","Running"
"Winmgmt","Windows Management Instrumentation","Essential","Automatic","Running"
"WinRM","Windows Remote Management (WS-Management)","Essential","Automatic","Running"
"ALG","Application Layer Gateway Service","Ignored","Automatic","Running"
"AppReadiness","App Readiness","Ignored","Automatic","Running"
"AppXSvc","AppX Deployment Service (AppXSVC)","Ignored","Automatic","Running"
"dot3svc","Wired AutoConfig","Ignored","Automatic","Running"
"DsmSvc","Device Setup Manager","Ignored","Automatic","Running"
"EFS","Encrypting File System (EFS)","Ignored","Automatic","Running"
"hidserv","Human Interface Device Service","Ignored","Automatic","Running"
"lltdsvc","Link-Layer Topology Discovery Mapper","Ignored","Automatic","Running"
"msiserver","Windows Installer","Ignored","Automatic","Running"
"SNMPTRAP","SNMP Trap","Ignored","Automatic","Running"
"SysMain","Superfetch","Ignored","Automatic","Running"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","Ignored","Automatic","Running"
"TrustedInstaller","Windows Modules Installer","Ignored","Automatic","Running"
"upnphost","UPnP Device Host","Ignored","Automatic","Running"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Ignored","Automatic","Running"
"vmvss","VMware Snapshot Provider","Ignored","Automatic","Running"
"VSS","Volume Shadow Copy","Ignored","Automatic","Running"
"Wecsvc","Windows Event Collector","Ignored","Automatic","Running"
"adfssrv","Active Directory Federation Services","Role","Automatic","Running"
"ADWS","Active Directory Web Services","Role","Automatic","Running"
"BITSCompactServer","BITS Compact Server","Role","Automatic","Running"
"c2wts","Claims to Windows Token Service","Role","Automatic","Running"
"CertSvc","Active Directory Certificate Services","Role","Automatic","Running"
"ClusSvc","Cluster Service","Role","Automatic","Running"
"ddpsvc","Data Deduplication Service","Role","Automatic","Running"
"ddpvssvc","Data Deduplication Volume Shadow Copy Service","Role","Automatic","Running"
"Dfs","DFS Namespace","Role","Automatic","Running"
"DFSR","DFS Replication","Role","Automatic","Running"
"DNS","DNS Server","Role","Automatic","Running"
